year_announced,operational_specificity_raw,fl_sentence_share,fl_precision_share,commitment_density,hedging_density,risk_transparency,risk_disclosure_raw,risk_numeric_density,tone_lm,pos_density,neg_density,n
2006,61.064676347702175,0.08505511580960316,0.5628424814021546,2.73086284647439,3.7655077712041627,0.6005661675161751,64.37658567426242,12.016374477165,-0.4034285958044176,4.976545065384412,12.253472121583014,140
2007,67.17018414839681,0.08826851563656263,0.6060933906108412,2.398268500794655,3.709508203579152,0.6064057962435769,66.20452249681186,12.18007197524906,-0.39844314846929785,5.195062405651182,12.803656059021366,270
2008,63.644938129591495,0.08357942466490124,0.5573984592486834,2.427369961943939,4.041136364209654,0.6199468783866509,66.51266779216925,11.74649650046293,-0.3996043833040995,4.8980766539044485,12.237916621191424,231
2009,61.37668110012274,0.07837626104893376,0.5507935442826509,2.517377224353196,4.0440707141302585,0.5945348400145462,67.40422247346277,10.422264711558622,-0.45084391537057095,4.626732827665132,12.806637709845926,191
2010,60.724784931318744,0.09031394979605978,0.5473235690197166,2.3414206213636684,3.8134946846050983,0.6073057925835676,69.02037595197146,11.543416189844715,-0.46178140494462727,4.696094683276146,13.699885839183603,233
2011,61.84717783575183,0.09262104207043567,0.5199134530105257,2.1276947369792203,4.122787324479173,0.5609943429834834,68.55041401337412,11.68811794131924,-0.43479439517385643,5.140545489737315,13.765182754878909,220
2012,63.24273883693322,0.09302434133127943,0.5096044404967612,2.2044542539463334,3.8860789429941165,0.5941478915630688,68.5969946300896,10.145499600407927,-0.40656171988477946,5.155686324545394,12.922345022918861,223
2013,63.338744537511054,0.08837175199756617,0.4870983030817929,2.210641379840827,4.035402278198804,0.5634939936770699,69.45276843365595,10.155361052908843,-0.4048917592888045,5.263949006938218,13.072205360407784,218
2014,65.98974287488939,0.0826591238870895,0.4818693931486631,1.974573577795169,3.819628004652816,0.5616326847743205,69.63589419031447,9.80707050732662,-0.4080652345546482,5.087379055925618,12.986879700724879,281
2015,65.09825466062071,0.08689818616126231,0.4842223749730288,2.0360147781381843,3.9300845116600205,0.5626523561920346,70.16843628155829,9.583386998112484,-0.3775735324855148,5.225464413525823,12.29414232375539,312
2016,65.86837558589325,0.08091856667766856,0.457605713383176,1.9794487163534895,4.0927658627203956,0.5492912454433556,69.40641423233376,8.78132512740876,-0.38944723129200903,5.215499014251249,12.671714792660444,306
2017,64.43088774795288,0.0875064841060366,0.4747024127410141,2.138955458644274,3.9464423817910936,0.5411149939237755,68.82904536974812,9.377845381403656,-0.3878712766317825,4.843681761649749,11.507399831725465,289
2018,66.30285096325639,0.08034361388700574,0.4596392893243147,2.014187662861055,3.778742718948719,0.5655146215903997,68.69726504361103,9.339261010681293,-0.390898793001625,5.152379844145169,12.53793859568873,289
2019,67.75361492487056,0.08308339054121744,0.46436577541760843,1.9595372929619455,3.7073351480067043,0.5219825574158422,70.58056550190409,9.04254304065278,-0.3540684798646241,5.334086783325235,11.83405199869501,234
2020,65.85456223424414,0.07226048772564449,0.4225345981294774,1.8854203054741805,3.956846889863353,0.5305630728608807,69.66957807411137,9.009569687071378,-0.35542600334574115,5.272380844732832,11.965280884422647,178
2021,66.6850060327749,0.0773969688149703,0.4634459263377334,1.8331514526261456,3.860785433625634,0.5059156314004905,72.01971903139496,8.87926436538087,-0.42054908733655777,5.105715889570524,13.234920179330016,285
2022,62.08106324332311,0.07889204254781565,0.43825201910742034,1.9519219628817261,4.143471122963088,0.5083174524188355,72.77077506883018,9.00962134829681,-0.3472551023203955,5.5764620003134935,12.539790788994035,286
