row,operational_specificity_norm,forward_looking_norm,risk_transparency_norm,tone_lm_norm,operational_specificity_raw,fl_sentence_share,fl_precision_share,commitment_density,hedging_density,risk_transparency,risk_disclosure_raw,risk_numeric_density,tone_lm,pos_density,neg_density
operational_specificity_norm,1,-0.13212589520104734,0.014676051303163858,-0.08410518043877684,0.7815051241164374,-0.11843065885893812,0.14375192146245022,-0.2650855742294403,-0.260567781882692,0.009577086006272831,0.043218411816337086,0.058695580838105554,-0.07576862573324483,-0.0987579573686083,0.012802208923896696
forward_looking_norm,-0.13212589520104734,1,0.033502987855442985,0.022840396885055604,-0.105617789204953,0.9035576831235914,0.38891878008217695,0.23650381902185572,0.1099615922264871,0.019262713901228964,0.02487976370627321,-0.027067292662067047,0.01853661919971407,0.04942501906076783,0.010439289015757615
risk_transparency_norm,0.014676051303163858,0.033502987855442985,1,-0.022611061382217617,0.005271493092074314,0.021854792247386262,0.051854293754979575,-0.04115189161176709,-0.045389763098121504,0.772447071936241,0.13004774643858855,-0.04713448336994607,-0.03558663798342916,-0.02215302553087707,0.018798236670211525
tone_lm_norm,-0.08410518043877684,0.022840396885055604,-0.022611061382217617,1,-0.07545623577543024,0.021162792933405658,-0.04139816872113698,0.07540312485285926,-0.057357956155133845,-0.017744498979000458,-0.06457941679861205,-0.08942644409605278,0.8785928149387793,0.6174987322176506,-0.48466538802650655
operational_specificity_raw,0.7815051241164374,-0.105617789204953,0.005271493092074314,-0.07545623577543024,1,-0.19007180916838828,0.1331726050318588,-0.332214780348877,-0.30380418963266936,-0.08506150526781972,0.04705075351169272,0.09758013699926717,-0.18335249641548398,-0.10267246161479297,0.17293659675746026
fl_sentence_share,-0.11843065885893812,0.9035576831235914,0.021854792247386262,0.021162792933405658,-0.19007180916838828,1,0.426038667878673,0.2612464227734021,0.11972645552193123,0.034203629772552216,0.042692685345945974,-0.047497371386432174,0.05199699543336447,0.05235057203966803,-0.04279603647944377
fl_precision_share,0.14375192146245022,0.38891878008217695,0.051854293754979575,-0.04139816872113698,0.1331726050318588,0.426038667878673,1,-0.0723566857604194,-0.13914875612244296,0.018381599841558696,0.01774412492410468,0.061315201263002085,-0.08813734990209598,-0.004343269862940175,0.09009773582124965
commitment_density,-0.2650855742294403,0.23650381902185572,-0.04115189161176709,0.07540312485285926,-0.332214780348877,0.2612464227734021,-0.0723566857604194,1,0.21020234227689139,-0.03123242916790295,-0.17858424240420262,0.09019326458028726,0.14654780825545002,0.09604243075968245,-0.11725293853096588
hedging_density,-0.260567781882692,0.1099615922264871,-0.045389763098121504,-0.057357956155133845,-0.30380418963266936,0.11972645552193123,-0.13914875612244296,0.21020234227689139,1,-0.025049912517934085,-0.06159849427955083,-0.004171966843381966,-0.01261380592270929,0.03349107691148232,0.07643411990282285
risk_transparency,0.009577086006272831,0.019262713901228964,0.772447071936241,-0.017744498979000458,-0.08506150526781972,0.034203629772552216,0.018381599841558696,-0.03123242916790295,-0.025049912517934085,1,0.14775075472665056,-0.05814183184178764,-0.021070093168976352,-0.049632536726548965,-0.040552929621754885
risk_disclosure_raw,0.043218411816337086,0.02487976370627321,0.13004774643858855,-0.06457941679861205,0.04705075351169272,0.042692685345945974,0.01774412492410468,-0.17858424240420262,-0.06159849427955083,0.14775075472665056,1,-0.34346016607315405,-0.08052014926235498,0.027663659665314897,0.15135490778407554
risk_numeric_density,0.058695580838105554,-0.027067292662067047,-0.04713448336994607,-0.08942644409605278,0.09758013699926717,-0.047497371386432174,0.061315201263002085,0.09019326458028726,-0.004171966843381966,-0.05814183184178764,-0.34346016607315405,1,-0.13456502246604193,-0.05435850002589678,0.1210207357652829
tone_lm,-0.07576862573324483,0.01853661919971407,-0.03558663798342916,0.8785928149387793,-0.18335249641548398,0.05199699543336447,-0.08813734990209598,0.14654780825545002,-0.01261380592270929,-0.021070093168976352,-0.08052014926235498,-0.13456502246604193,1,0.6607081174501731,-0.6111058779922163
pos_density,-0.0987579573686083,0.04942501906076783,-0.02215302553087707,0.6174987322176506,-0.10267246161479297,0.05235057203966803,-0.004343269862940175,0.09604243075968245,0.03349107691148232,-0.049632536726548965,0.027663659665314897,-0.05435850002589678,0.6607081174501731,1,0.09098417718511788
neg_density,0.012802208923896696,0.010439289015757615,0.018798236670211525,-0.48466538802650655,0.17293659675746026,-0.04279603647944377,0.09009773582124965,-0.11725293853096588,0.07643411990282285,-0.040552929621754885,0.15135490778407554,0.1210207357652829,-0.6111058779922163,0.09098417718511788,1
